Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Takamizawa Ikumi,45,151,138,20,36,6,0,2,48,15,0,0,2,1,32,10,0,0,4,0.261,0.309,0.348,0.657,97,0.087,0.324,29.1%,21.2%,6.6%,0.31,-0.1,19,UTL,L,DeNA BayStars,EL
Takeda Riku,52,106,98,8,19,0,0,0,19,6,0,1,1,1,31,6,0,0,3,0.194,0.238,0.194,0.432,30,0.000,0.279,34.9%,29.2%,5.7%,0.19,-0.4,20,9,L,DeNA BayStars,EL
Tanai Manato,70,209,196,20,45,12,4,0,65,11,1,0,1,0,35,11,0,1,8,0.230,0.274,0.332,0.606,82,0.102,0.280,22.0%,16.7%,5.3%,0.31,0.1,18,6,R,DeNA BayStars,EL
Tobashira Yasutaka,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,0.0,35,2,L,DeNA BayStars,EL
Tsutsugoh Yoshitomo,16,54,47,4,15,4,0,1,22,6,0,0,0,0,12,7,0,0,1,0.319,0.407,0.468,0.875,162,0.149,0.412,37.0%,22.2%,13.0%,0.58,-0.0,33,DH,L,DeNA BayStars,EL
Viciedo Dayan,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,0.0,36,DH,R,DeNA BayStars,EL
Watarai Ryuki,35,152,135,13,51,7,1,0,60,17,1,0,0,6,12,11,0,0,3,0.378,0.408,0.444,0.852,156,0.066,0.395,15.1%,7.9%,7.2%,0.92,0.1,22,9,L,DeNA BayStars,EL
Akihiro Yuto,25,80,70,4,11,0,0,2,17,5,0,0,0,1,16,9,0,0,1,0.157,0.250,0.243,0.493,49,0.086,0.170,33.8%,20.0%,11.2%,0.56,-0.0,22,3,L,Yomiuri Giants,EL
Aramaki Yu,42,120,103,11,25,11,0,1,39,17,1,0,0,0,26,16,0,1,1,0.243,0.350,0.379,0.729,119,0.136,0.316,35.8%,21.7%,13.3%,0.62,0.1,22,5,L,Yomiuri Giants,EL
Asano Shogo,29,82,72,8,14,3,0,1,20,14,0,2,0,2,11,7,0,1,1,0.194,0.268,0.278,0.546,64,0.084,0.210,23.2%,13.4%,8.5%,0.64,-0.7,20,8,R,Yomiuri Giants,EL
Cabbage Trey,4,12,12,3,6,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0.500,0.500,0.583,1.083,226,0.083,0.667,25.0%,25.0%,0.0%,0.00,-0.0,28,9,L,Yomiuri Giants,EL
Chlup Marek,66,168,151,23,40,4,2,4,60,29,8,2,0,2,46,13,0,2,2,0.265,0.327,0.397,0.724,118,0.132,0.350,37.5%,27.4%,7.7%,0.28,0.6,26,9,R,Yomiuri Giants,EL
Chono Hisayoshi,47,100,96,4,20,2,0,1,25,8,0,1,0,0,19,4,0,0,1,0.208,0.240,0.260,0.500,51,0.052,0.250,24.0%,19.0%,4.0%,0.21,-0.4,40,DH,R,Yomiuri Giants,EL
Funakoshi Hidetora,9,18,15,4,3,0,0,0,3,0,2,1,2,0,9,1,0,0,0,0.200,0.250,0.200,0.450,36,0.000,0.500,55.6%,50.0%,5.6%,0.11,0.0,23,8,S,Yomiuri Giants,EL
Hagio Masaya,59,177,164,23,37,5,0,5,57,15,3,2,0,3,39,9,0,1,5,0.226,0.266,0.348,0.614,84,0.122,0.260,29.9%,22.0%,5.1%,0.23,-0.2,24,8,R,Yomiuri Giants,EL
Hernandez Elier,30,94,90,9,18,6,0,1,27,13,0,0,0,0,20,3,0,1,2,0.200,0.234,0.300,0.534,60,0.100,0.246,25.5%,21.3%,3.2%,0.15,-0.0,30,8,R,Yomiuri Giants,EL
Inoue Haruto,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,,0.0%,0.0%,0.0%,,0.0,24,1,L,Yomiuri Giants,EL
Ishizuka Yusei,50,172,144,25,48,9,1,3,68,22,4,3,2,1,17,20,0,5,0,0.333,0.429,0.472,0.901,171,0.139,0.360,23.3%,9.9%,11.6%,1.18,-0.4,19,6,R,Yomiuri Giants,EL
Izuguchi Yuta,7,26,22,4,7,0,0,1,10,4,1,0,1,1,2,2,1,0,0,0.318,0.360,0.455,0.815,145,0.137,0.300,19.2%,7.7%,7.7%,1.00,0.2,26,6,L,Yomiuri Giants,EL
Kadowaki Makoto,11,43,33,8,7,2,0,0,9,3,1,2,1,1,8,7,0,1,2,0.212,0.357,0.273,0.630,91,0.061,0.269,34.9%,18.6%,16.3%,0.88,-0.5,24,6,L,Yomiuri Giants,EL
Kameda Keita,15,27,24,4,8,0,0,0,8,3,0,0,0,0,5,2,0,1,1,0.333,0.407,0.333,0.740,124,0.000,0.421,25.9%,18.5%,7.4%,0.40,-0.0,26,2,R,Yomiuri Giants,EL
Kishida Yukinori,4,14,11,2,3,0,0,0,3,1,0,0,0,0,3,3,0,0,2,0.273,0.429,0.273,0.702,113,0.000,0.375,42.9%,21.4%,21.4%,1.00,-0.0,28,2,R,Yomiuri Giants,EL
Kita Ryusuke,41,95,87,10,20,5,0,0,25,8,0,1,3,0,11,4,0,1,3,0.230,0.272,0.287,0.559,68,0.057,0.263,15.8%,11.6%,4.2%,0.36,-0.4,26,2,R,Yomiuri Giants,EL
Kobayashi Seiji,21,37,29,1,7,0,0,0,7,7,0,0,3,0,3,5,0,0,0,0.241,0.353,0.241,0.594,80,0.000,0.269,21.6%,8.1%,13.5%,1.67,-0.0,36,2,R,Yomiuri Giants,EL
Kohri Takuya,71,116,110,13,23,3,1,1,31,15,3,0,1,0,15,3,0,2,5,0.209,0.243,0.282,0.525,58,0.073,0.234,16.4%,12.9%,2.6%,0.20,0.5,27,UTL,R,Yomiuri Giants,EL
Maru Yoshihiro,5,18,18,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0.167,0.167,0.333,0.500,49,0.166,0.118,5.6%,0.0%,0.0%,,-0.0,36,7,L,Yomiuri Giants,EL
Masuda Daiki,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,33.3%,33.3%,0.0%,0.00,0.0,31,6,R,Yomiuri Giants,EL
Masuda Riku,32,107,104,10,33,1,0,2,40,15,1,0,0,1,17,1,0,1,1,0.317,0.327,0.385,0.712,114,0.068,0.360,18.7%,15.9%,0.9%,0.06,0.1,25,4,R,Yomiuri Giants,EL
Mitsuka Rui,61,209,195,23,68,14,0,8,106,38,3,1,1,0,37,10,0,3,3,0.349,0.389,0.544,0.933,180,0.195,0.400,26.3%,17.7%,4.8%,0.27,0.1,21,3,L,Yomiuri Giants,EL
Murayama Gen,13,22,18,3,3,1,0,0,4,3,0,1,2,0,4,2,0,0,0,0.167,0.250,0.222,0.472,43,0.055,0.214,27.3%,18.2%,9.1%,0.50,-0.3,20,6,R,Yomiuri Giants,EL
Nakata Ayumu,24,58,45,10,15,4,3,0,25,8,1,1,2,0,11,7,0,4,0,0.333,0.464,0.556,1.020,207,0.223,0.441,31.0%,19.0%,12.1%,0.64,-0.2,21,6,R,Yomiuri Giants,EL
Nakayama Raito,8,31,26,4,11,0,0,1,14,4,0,0,0,1,3,2,0,2,0,0.423,0.484,0.538,1.022,208,0.115,0.435,19.4%,9.7%,6.5%,0.67,-0.0,23,UTL,L,Yomiuri Giants,EL
Nishidate Yuhi,8,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,347,0.500,0.500,0.0%,0.0%,0.0%,,0.0,23,1,R,Yomiuri Giants,EL
Ohshiro Takumi,17,55,50,10,16,6,0,3,31,13,0,0,0,0,8,5,0,0,0,0.320,0.382,0.620,1.002,200,0.300,0.333,29.1%,14.5%,9.1%,0.62,-0.0,32,2,L,Yomiuri Giants,EL
Ohtsu Ryoya,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,211,0.000,,100.0%,0.0%,100.0%,1.00,-0.0,22,7,R,Yomiuri Giants,EL
Okada Yuki,83,241,204,39,57,9,1,8,92,36,8,3,2,0,53,34,0,1,4,0.279,0.385,0.451,0.836,151,0.172,0.343,39.4%,22.0%,14.1%,0.64,0.3,25,9,L,Yomiuri Giants,EL
Okamoto Kazuma,8,21,19,1,5,2,0,0,7,2,0,0,0,0,3,1,0,1,1,0.263,0.333,0.368,0.701,111,0.105,0.312,19.0%,14.3%,4.8%,0.33,-0.0,29,DH,R,Yomiuri Giants,EL
Okoye Louis,25,65,61,9,20,4,0,3,33,17,2,0,0,0,13,4,0,0,1,0.328,0.369,0.541,0.910,173,0.213,0.378,30.8%,20.0%,6.2%,0.31,0.3,27,7,R,Yomiuri Giants,EL
Otosaka Tomo,12,25,23,2,5,2,0,0,7,2,0,0,0,0,4,2,0,0,2,0.217,0.280,0.304,0.584,76,0.087,0.263,24.0%,16.0%,8.0%,0.50,-0.0,31,,R,Yomiuri Giants,EL
Sakamoto Hayato,19,61,56,2,14,1,0,1,18,4,0,0,0,0,11,5,0,0,0,0.250,0.311,0.321,0.632,90,0.071,0.295,27.9%,18.0%,8.2%,0.45,-0.0,36,DH,R,Yomiuri Giants,EL
Sakamoto Tatsuya,9,17,13,7,8,2,0,0,10,0,0,0,2,0,2,1,0,1,0,0.615,0.667,0.769,1.436,332,0.154,0.727,17.6%,11.8%,5.9%,0.50,-0.0,22,2,R,Yomiuri Giants,EL
Sasahara Misaki,69,190,163,26,38,6,1,2,52,20,14,3,1,6,34,19,0,1,6,0.233,0.307,0.319,0.626,89,0.086,0.271,28.9%,17.9%,10.0%,0.56,1.3,21,9,R,Yomiuri Giants,EL
Sasaki Shunsuke,50,149,129,20,41,6,1,0,49,17,8,3,4,3,25,11,0,2,1,0.318,0.372,0.380,0.752,127,0.062,0.383,24.2%,16.8%,7.4%,0.44,0.3,25,9,L,Yomiuri Giants,EL
Shigenobu Shinnosuke,54,96,82,21,16,3,0,1,22,7,7,1,1,1,20,12,0,0,1,0.195,0.295,0.268,0.563,70,0.073,0.242,34.4%,20.8%,12.5%,0.60,0.8,32,8,L,Yomiuri Giants,EL
Sunagawa Richard,14,55,49,9,12,4,0,3,25,14,0,0,0,0,22,5,0,1,0,0.245,0.327,0.510,0.837,151,0.265,0.375,54.5%,40.0%,9.1%,0.23,-0.0,26,3,R,Yomiuri Giants,EL
Suzuki Yamato,41,79,68,13,19,2,2,0,25,10,7,0,5,1,13,3,0,2,1,0.279,0.324,0.368,0.692,108,0.089,0.339,20.3%,16.5%,3.8%,0.23,1.2,26,8,R,Yomiuri Giants,EL
Tanaka Masahiro,13,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,36,1,R,Yomiuri Giants,EL
Tima Julian,91,330,311,27,71,20,0,7,112,37,0,0,0,3,74,15,0,1,13,0.228,0.264,0.360,0.624,87,0.132,0.275,29.1%,22.4%,4.5%,0.20,-0.1,20,3,R,Yomiuri Giants,EL
Urata Shunsuke,88,277,236,39,65,8,1,0,75,15,20,3,9,0,33,30,0,2,3,0.275,0.362,0.318,0.680,105,0.043,0.320,22.7%,11.9%,10.8%,0.91,2.3,22,6,L,Yomiuri Giants,EL
Utsunomiya Kisara,69,198,174,32,50,3,0,1,56,15,15,3,7,0,29,15,0,2,3,0.287,0.351,0.322,0.673,103,0.035,0.340,22.7%,14.6%,7.6%,0.52,1.5,21,4,L,Yomiuri Giants,EL
Wakabayashi Gakuto,3,6,6,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,201,0.000,0.600,16.7%,16.7%,0.0%,0.00,-0.0,27,8,R,Yomiuri Giants,EL
Yamasaki Iori,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,0.0,26,1,L,Yomiuri Giants,EL
Yamase Shinnosuke,89,226,192,25,61,8,1,2,77,20,0,1,9,2,41,22,1,1,7,0.318,0.387,0.401,0.788,137,0.083,0.391,28.8%,18.1%,9.7%,0.54,-0.4,24,2,R,Yomiuri Giants,EL
Yoshikawa Naoki,3,9,9,2,3,0,1,0,5,2,0,0,0,0,1,0,0,0,0,0.333,0.333,0.556,0.889,166,0.223,0.375,11.1%,11.1%,0.0%,0.00,-0.0,30,4,L,Yomiuri Giants,EL
Yuasa Dai,80,194,158,19,33,6,0,1,42,16,10,2,10,1,42,21,0,4,2,0.209,0.315,0.266,0.581,76,0.057,0.276,33.0%,21.6%,10.8%,0.50,1.0,25,4,R,Yomiuri Giants,EL
Akahane Yoshihiro,4,15,12,3,4,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0.333,0.467,0.333,0.800,146,0.000,0.400,33.3%,13.3%,20.0%,1.50,-0.0,25,UTL,R,Yakult Swallows,EL
Aoyagi Koyo,5,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,31,1,R,Yakult Swallows,EL
Avila Pedro,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,28,1,R,Yakult Swallows,EL
Hamada Taiki,71,215,189,12,33,10,1,5,60,27,1,4,3,2,54,17,0,4,8,0.175,0.255,0.317,0.572,74,0.142,0.212,35.3%,25.1%,7.9%,0.31,-1.2,24,6,R,Yakult Swallows,EL
Hashimoto Seiya,76,272,250,29,69,13,2,1,89,30,6,6,1,2,28,19,0,0,8,0.276,0.325,0.356,0.681,108,0.080,0.305,17.6%,10.3%,7.0%,0.68,-1.1,24,7,L,Yakult Swallows,EL
Ishihara Yuki,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,23,1,L,Yakult Swallows,EL
Itoh Ryui,16,67,58,4,13,1,0,0,14,4,1,2,4,0,15,5,0,0,0,0.224,0.286,0.241,0.527,61,0.017,0.302,29.9%,22.4%,7.5%,0.33,-0.5,22,6,R,Yakult Swallows,EL
Iwata Yukihiro,7,27,22,6,9,1,0,0,10,1,4,0,2,0,3,3,0,0,0,0.409,0.480,0.455,0.935,187,0.046,0.474,22.2%,11.1%,11.1%,1.00,0.7,27,8,L,Yakult Swallows,EL
Kawabata Shingo,69,194,180,11,42,2,0,2,50,19,0,0,0,0,14,13,0,1,4,0.233,0.289,0.278,0.567,73,0.045,0.244,14.9%,7.2%,6.7%,0.93,-0.1,37,DH,L,Yakult Swallows,EL
Kitamura Keigo,72,257,226,14,53,10,0,2,69,10,2,0,2,1,40,21,0,7,7,0.235,0.318,0.305,0.623,90,0.070,0.276,24.5%,15.6%,8.2%,0.53,0.2,24,UTL,R,Yakult Swallows,EL
Kitamura Takumi,14,40,37,4,8,2,0,0,10,3,0,0,0,0,6,2,0,1,2,0.216,0.275,0.270,0.545,66,0.054,0.258,20.0%,15.0%,5.0%,0.33,-0.0,29,4,R,Yakult Swallows,EL
Koga Yudai,1,5,5,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,268,0.000,0.600,0.0%,0.0%,0.0%,,-0.0,26,2,R,Yakult Swallows,EL
Lambert Peter,2,2,2,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0.500,0.500,1.000,1.500,356,0.500,1.000,50.0%,50.0%,0.0%,0.00,0.0,28,1,R,Yakult Swallows,EL
Maruyama Kazuya,18,57,50,6,9,1,1,0,12,2,3,0,1,1,10,5,0,0,1,0.180,0.250,0.240,0.490,49,0.060,0.220,26.3%,17.5%,8.8%,0.50,0.5,25,8,L,Yakult Swallows,EL
Masuda Shu,2,7,6,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0.167,0.286,0.167,0.453,39,0.000,0.250,42.9%,28.6%,14.3%,0.50,-0.0,26,9,R,Yakult Swallows,EL
Matsumoto Naoki,24,72,63,3,15,3,0,0,18,7,0,0,4,0,6,4,0,1,3,0.238,0.294,0.286,0.580,77,0.048,0.263,13.9%,8.3%,5.6%,0.67,-0.0,31,2,R,Yakult Swallows,EL
Matsumoto Ryunosuke,71,147,124,11,21,3,1,0,26,5,9,6,1,0,56,18,0,4,0,0.169,0.295,0.210,0.505,54,0.041,0.309,50.3%,38.1%,12.2%,0.32,-0.5,20,2,L,Yakult Swallows,EL
Miyamoto Takeshi,2,7,7,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0.143,0.143,0.143,0.286,-14,0.000,0.250,42.9%,42.9%,0.0%,0.00,-0.0,30,9,L,Yakult Swallows,EL
Moiseev Nikita,46,143,130,7,19,5,0,4,36,12,1,2,0,0,44,13,0,0,2,0.146,0.224,0.277,0.501,52,0.131,0.183,42.7%,30.8%,9.1%,0.30,-0.5,18,9,L,Yakult Swallows,EL
Murakami Munetaka,13,39,33,6,12,3,0,2,21,5,1,1,0,0,7,6,0,0,1,0.364,0.462,0.636,1.098,235,0.272,0.417,38.5%,17.9%,15.4%,0.86,-0.2,25,5,L,Yakult Swallows,EL
Nagaoka Hideki,12,40,33,1,6,1,0,0,7,3,0,1,0,0,5,5,0,2,1,0.182,0.325,0.212,0.537,65,0.030,0.214,25.0%,12.5%,12.5%,1.00,-0.3,23,6,L,Yakult Swallows,EL
Nakagawa Takuma,48,102,95,7,13,1,0,1,17,2,0,0,1,0,30,6,0,0,2,0.137,0.188,0.179,0.367,11,0.042,0.188,36.3%,29.4%,5.9%,0.20,-0.0,22,2,R,Yakult Swallows,EL
Nakamura Yuto,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,516,0.000,1.000,0.0%,0.0%,0.0%,,-0.0,22,1,L,Yakult Swallows,EL
Namiki Hidetaka,10,30,27,3,7,0,0,0,7,0,2,1,0,0,3,3,0,0,1,0.259,0.333,0.259,0.592,81,0.000,0.292,20.0%,10.0%,10.0%,1.00,-0.0,26,8,R,Yakult Swallows,EL
Negishi Tatsunori,37,111,105,4,21,5,0,0,26,5,0,1,0,0,20,6,0,0,5,0.200,0.243,0.248,0.491,49,0.048,0.247,23.4%,18.0%,5.4%,0.30,-0.4,24,3,L,Yakult Swallows,EL
Nishikawa Haruki,33,111,82,12,22,4,1,1,31,8,0,0,0,0,23,28,0,1,3,0.268,0.459,0.378,0.837,157,0.110,0.362,46.8%,20.7%,25.2%,1.22,-0.1,33,9,L,Yakult Swallows,EL
Nishimura Ruito,87,300,278,27,61,13,0,3,83,20,5,6,0,3,76,19,0,0,6,0.219,0.267,0.299,0.566,72,0.080,0.287,32.7%,25.3%,6.3%,0.25,-1.2,20,5,L,Yakult Swallows,EL
Ogawa Yasuhiro,7,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,103,0.000,0.333,0.0%,0.0%,0.0%,,-0.0,35,1,R,Yakult Swallows,EL
Ohta Kengo,40,137,124,8,33,1,1,2,42,11,1,0,0,0,18,12,0,1,1,0.266,0.336,0.339,0.675,106,0.073,0.298,23.4%,13.1%,8.8%,0.67,0.1,28,8,L,Yakult Swallows,EL
Sawai Ren,73,278,243,28,53,9,1,8,88,23,1,2,0,1,68,26,0,8,6,0.218,0.313,0.362,0.675,106,0.144,0.268,36.7%,24.5%,9.4%,0.38,-0.6,25,9,L,Yakult Swallows,EL
Sawano Kiyoharu,75,218,203,20,30,4,3,2,46,11,6,3,6,0,73,9,0,0,1,0.148,0.184,0.227,0.411,24,0.079,0.219,38.5%,33.5%,4.1%,0.12,-0.0,23,4,L,Yakult Swallows,EL
Suzuki Kyo,23,54,48,5,11,3,0,1,17,7,0,1,0,0,16,6,0,0,2,0.229,0.315,0.354,0.669,104,0.125,0.323,42.6%,29.6%,11.1%,0.38,-0.3,19,2,R,Yakult Swallows,EL
Takanashi Hirotoshi,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,34,1,R,Yakult Swallows,EL
Takano Souta,67,170,158,7,21,4,0,0,25,8,2,0,2,3,47,7,0,0,2,0.133,0.167,0.158,0.325,-2,0.025,0.184,31.8%,27.6%,4.1%,0.15,0.3,19,3,R,Yakult Swallows,EL
Takeoka Ryusei,34,144,123,14,34,4,1,1,43,14,3,2,0,1,32,18,0,2,1,0.276,0.375,0.350,0.725,122,0.074,0.363,35.4%,22.2%,12.5%,0.56,-0.2,24,UTL,L,Yakult Swallows,EL
Tanaka Haruto,65,232,205,21,50,9,4,2,73,17,1,2,0,0,54,24,0,3,4,0.244,0.332,0.356,0.688,110,0.112,0.322,34.5%,23.3%,10.3%,0.44,-0.6,19,6,L,Yakult Swallows,EL
Uchiyama Souma,15,47,42,2,10,2,0,0,12,2,0,0,0,0,9,3,0,2,0,0.238,0.319,0.286,0.605,85,0.048,0.303,25.5%,19.1%,6.4%,0.33,-0.0,23,2,R,Yakult Swallows,EL
Yamada Tetsuto,9,25,24,1,4,1,0,1,8,2,0,0,0,0,3,1,0,0,0,0.167,0.200,0.333,0.533,61,0.166,0.150,20.0%,12.0%,4.0%,0.33,-0.0,32,4,R,Yakult Swallows,EL
Yamano Taichi,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,26,1,L,Yakult Swallows,EL
Yamanobe Kakeru,30,103,91,6,24,3,1,1,32,6,3,1,2,1,9,7,0,2,3,0.264,0.327,0.352,0.679,107,0.088,0.280,16.5%,8.7%,6.8%,0.78,0.1,31,4,R,Yakult Swallows,EL
Yano Taijiro,56,128,112,7,20,4,0,0,24,3,2,0,4,0,17,11,0,1,1,0.179,0.258,0.214,0.472,44,0.035,0.211,21.9%,13.3%,8.6%,0.65,0.3,23,2,R,Yakult Swallows,EL
Bright Kenta,10,33,28,7,11,3,1,1,19,7,0,0,0,0,6,4,0,1,0,0.393,0.485,0.679,1.164,242,0.286,0.476,33.3%,18.2%,12.1%,0.67,-0.0,26,7,R,Chunichi Dragons,WL
Calixte Orlando,20,69,63,6,17,3,0,1,23,6,0,1,0,1,12,5,0,0,1,0.270,0.319,0.365,0.684,103,0.095,0.314,26.1%,17.4%,7.2%,0.42,-0.4,33,7,R,Chunichi Dragons,WL
Chavis Michael,4,11,11,1,4,1,0,0,5,4,0,0,0,0,1,0,0,0,0,0.364,0.364,0.455,0.819,142,0.091,0.400,9.1%,9.1%,0.0%,0.00,-0.0,29,DH,R,Chunichi Dragons,WL
Fukumoto Yuma,59,162,150,12,46,10,1,3,67,29,2,2,0,5,20,6,0,1,8,0.307,0.327,0.447,0.774,128,0.140,0.326,17.9%,12.3%,3.7%,0.30,-0.4,25,DH,R,Chunichi Dragons,WL
Fukunaga Hiroki,7,21,19,4,7,1,0,0,8,3,0,0,0,0,4,2,0,0,0,0.368,0.429,0.421,0.850,152,0.053,0.467,28.6%,19.0%,9.5%,0.50,-0.0,28,DH,R,Chunichi Dragons,WL
Gotoh Shunta,36,117,100,8,28,5,3,0,39,10,0,1,0,2,19,15,0,0,2,0.280,0.368,0.390,0.758,125,0.110,0.337,29.1%,16.2%,12.8%,0.79,-0.4,32,9,L,Chunichi Dragons,WL
Hama Shonosuke,87,316,274,36,69,11,7,0,94,22,14,9,4,1,60,36,1,1,6,0.252,0.340,0.343,0.683,103,0.091,0.321,30.4%,19.0%,11.4%,0.60,-0.7,25,8,L,Chunichi Dragons,WL
Higuchi Seishu,28,66,58,8,10,0,0,0,10,2,5,0,3,0,12,4,0,1,0,0.172,0.238,0.172,0.410,24,0.000,0.217,24.2%,18.2%,6.1%,0.33,0.8,26,4,L,Chunichi Dragons,WL
Hiwatari Touki,25,36,34,2,8,1,0,0,9,1,0,0,0,0,10,1,0,1,1,0.235,0.278,0.265,0.543,62,0.030,0.333,30.6%,27.8%,2.8%,0.10,-0.0,20,2,L,Chunichi Dragons,WL
Hoshino Mao,26,39,33,1,4,1,0,0,5,2,0,1,3,1,16,1,0,1,3,0.121,0.167,0.152,0.319,-4,0.031,0.222,43.6%,41.0%,2.6%,0.06,-0.3,21,5,R,Chunichi Dragons,WL
Hosokawa Seiya,6,18,16,3,5,1,0,2,12,2,0,0,0,0,4,2,0,0,0,0.313,0.389,0.750,1.139,233,0.437,0.300,44.4%,22.2%,11.1%,0.50,-0.0,26,DH,R,Chunichi Dragons,WL
Ishibashi Kota,39,100,85,17,27,9,1,0,38,18,0,1,1,0,16,13,0,1,2,0.318,0.414,0.447,0.861,155,0.129,0.391,29.0%,16.0%,13.0%,0.81,-0.4,24,2,R,Chunichi Dragons,WL
Ishii Yuta,9,26,22,2,7,2,0,2,15,3,0,0,0,0,7,2,0,2,0,0.318,0.423,0.682,1.105,224,0.364,0.385,42.3%,26.9%,7.7%,0.29,-0.0,24,2,R,Chunichi Dragons,WL
Ishikawa Takaya,43,165,146,16,45,11,0,3,65,21,1,0,0,3,25,14,0,2,4,0.308,0.370,0.445,0.815,141,0.137,0.347,25.5%,15.2%,8.5%,0.56,0.1,24,5,R,Chunichi Dragons,WL
Itayama Yutaro,11,39,37,4,14,4,1,1,23,4,1,0,0,0,6,2,0,0,0,0.378,0.410,0.622,1.032,203,0.244,0.433,23.1%,15.4%,5.1%,0.33,0.2,31,4,L,Chunichi Dragons,WL
Kanemaru Yumeto,6,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,50.0%,50.0%,0.0%,0.00,0.0,22,1,L,Chunichi Dragons,WL
Kato Ryuma,27,49,47,2,4,1,0,0,5,2,0,0,0,0,24,2,0,0,0,0.085,0.122,0.106,0.228,-30,0.021,0.174,53.1%,49.0%,4.1%,0.08,-0.0,26,9,S,Chunichi Dragons,WL
Katoh Takuma,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,0.0,33,2,R,Chunichi Dragons,WL
Kawagoe Seiji,57,171,146,17,33,9,2,2,52,21,1,0,0,1,42,22,0,2,0,0.226,0.333,0.356,0.689,104,0.130,0.301,38.6%,24.6%,12.9%,0.52,0.1,32,9,L,Chunichi Dragons,WL
Kawakami Rii,91,344,286,41,65,11,3,1,85,35,15,7,1,6,75,44,0,7,6,0.227,0.338,0.297,0.635,89,0.070,0.296,34.9%,21.8%,12.8%,0.59,0.1,24,3,R,Chunichi Dragons,WL
Mejia Humberto,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,205,0.000,,100.0%,0.0%,100.0%,1.00,-0.0,28,1,R,Chunichi Dragons,WL
Miya Taisei,54,113,105,8,22,3,1,0,27,14,0,1,5,0,17,1,0,2,5,0.210,0.231,0.257,0.488,45,0.047,0.250,15.9%,15.0%,0.9%,0.06,-0.4,22,2,L,Chunichi Dragons,WL
Monier Carlos,38,111,92,9,21,3,0,2,30,13,2,1,0,0,26,13,0,6,1,0.228,0.360,0.326,0.686,104,0.098,0.297,36.9%,23.4%,11.7%,0.50,-0.0,24,7,R,Chunichi Dragons,WL
