Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Takamizawa Ikumi,43,148,136,20,34,6,0,2,46,13,0,0,2,1,32,9,0,0,4,0.250,0.295,0.338,0.633,90,0.088,0.311,29.1%,21.6%,6.1%,0.28,-0.1,19,UTL,L,DeNA BayStars,EL
Takeda Riku,51,106,98,8,19,0,0,0,19,6,0,1,1,1,31,6,0,0,3,0.194,0.238,0.194,0.432,31,0.000,0.279,34.9%,29.2%,5.7%,0.19,-0.4,20,9,L,DeNA BayStars,EL
Tanai Manato,68,208,195,18,44,12,4,0,64,11,1,0,1,0,35,11,0,1,8,0.226,0.271,0.328,0.599,80,0.102,0.275,22.1%,16.8%,5.3%,0.31,0.1,18,6,R,DeNA BayStars,EL
Tobashira Yasutaka,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,0.0,35,2,L,DeNA BayStars,EL
Tsutsugoh Yoshitomo,16,54,47,4,15,4,0,1,22,6,0,0,0,0,12,7,0,0,1,0.319,0.407,0.468,0.875,163,0.149,0.412,37.0%,22.2%,13.0%,0.58,-0.0,33,DH,L,DeNA BayStars,EL
Viciedo Dayan,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,0.0,36,DH,R,DeNA BayStars,EL
Watarai Ryuki,35,152,135,13,51,7,1,0,60,17,1,0,0,6,12,11,0,0,3,0.378,0.408,0.444,0.852,156,0.066,0.395,15.1%,7.9%,7.2%,0.92,0.1,22,9,L,DeNA BayStars,EL
Akihiro Yuto,25,80,70,4,11,0,0,2,17,5,0,0,0,1,16,9,0,0,1,0.157,0.250,0.243,0.493,49,0.086,0.170,33.8%,20.0%,11.2%,0.56,-0.0,22,3,L,Yomiuri Giants,EL
Aramaki Yu,40,115,98,11,23,11,0,1,37,16,1,0,0,0,25,16,0,1,1,0.235,0.348,0.378,0.726,119,0.143,0.306,36.5%,21.7%,13.9%,0.64,0.1,22,5,L,Yomiuri Giants,EL
Asano Shogo,27,75,66,7,11,3,0,1,17,12,0,1,0,2,11,6,0,1,1,0.167,0.240,0.258,0.498,50,0.091,0.179,24.0%,14.7%,8.0%,0.55,-0.4,20,8,R,Yomiuri Giants,EL
Cabbage Trey,4,12,12,3,6,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0.500,0.500,0.583,1.083,226,0.083,0.667,25.0%,25.0%,0.0%,0.00,-0.0,28,9,L,Yomiuri Giants,EL
Chlup Marek,66,168,151,23,40,4,2,4,60,29,8,2,0,2,46,13,0,2,2,0.265,0.327,0.397,0.724,118,0.132,0.350,37.5%,27.4%,7.7%,0.28,0.6,26,9,R,Yomiuri Giants,EL
Chono Hisayoshi,46,98,94,4,19,2,0,1,24,7,0,1,0,0,18,4,0,0,1,0.202,0.235,0.255,0.490,48,0.053,0.240,23.5%,18.4%,4.1%,0.22,-0.4,40,DH,R,Yomiuri Giants,EL
Funakoshi Hidetora,9,18,15,4,3,0,0,0,3,0,2,1,2,0,9,1,0,0,0,0.200,0.250,0.200,0.450,36,0.000,0.500,55.6%,50.0%,5.6%,0.11,0.0,23,8,S,Yomiuri Giants,EL
Hagio Masaya,59,177,164,23,37,5,0,5,57,15,3,2,0,3,39,9,0,1,5,0.226,0.266,0.348,0.614,85,0.122,0.260,29.9%,22.0%,5.1%,0.23,-0.2,24,8,R,Yomiuri Giants,EL
Hernandez Elier,30,94,90,9,18,6,0,1,27,13,0,0,0,0,20,3,0,1,2,0.200,0.234,0.300,0.534,61,0.100,0.246,25.5%,21.3%,3.2%,0.15,-0.0,30,8,R,Yomiuri Giants,EL
Inoue Haruto,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,,0.0%,0.0%,0.0%,,0.0,24,1,L,Yomiuri Giants,EL
Ishizuka Yusei,48,163,136,22,42,7,1,2,57,19,4,3,2,1,17,19,0,5,0,0.309,0.410,0.419,0.829,150,0.110,0.339,23.3%,10.4%,11.7%,1.12,-0.4,19,6,R,Yomiuri Giants,EL
Izuguchi Yuta,7,26,22,4,7,0,0,1,10,4,1,0,1,1,2,2,1,0,0,0.318,0.360,0.455,0.815,145,0.137,0.300,19.2%,7.7%,7.7%,1.00,0.2,26,6,L,Yomiuri Giants,EL
Kadowaki Makoto,11,43,33,8,7,2,0,0,9,3,1,2,1,1,8,7,0,1,2,0.212,0.357,0.273,0.630,91,0.061,0.269,34.9%,18.6%,16.3%,0.88,-0.5,24,6,L,Yomiuri Giants,EL
Kameda Keita,15,27,24,4,8,0,0,0,8,3,0,0,0,0,5,2,0,1,1,0.333,0.407,0.333,0.740,124,0.000,0.421,25.9%,18.5%,7.4%,0.40,-0.0,26,2,R,Yomiuri Giants,EL
Kishida Yukinori,4,14,11,2,3,0,0,0,3,1,0,0,0,0,3,3,0,0,2,0.273,0.429,0.273,0.702,113,0.000,0.375,42.9%,21.4%,21.4%,1.00,-0.0,28,2,R,Yomiuri Giants,EL
Kita Ryusuke,41,95,87,10,20,5,0,0,25,8,0,1,3,0,11,4,0,1,3,0.230,0.272,0.287,0.559,69,0.057,0.263,15.8%,11.6%,4.2%,0.36,-0.4,26,2,R,Yomiuri Giants,EL
Kobayashi Seiji,21,37,29,1,7,0,0,0,7,7,0,0,3,0,3,5,0,0,0,0.241,0.353,0.241,0.594,80,0.000,0.269,21.6%,8.1%,13.5%,1.67,-0.0,36,2,R,Yomiuri Giants,EL
Kohri Takuya,69,115,109,13,23,3,1,1,31,15,3,0,1,0,15,3,0,2,5,0.211,0.246,0.284,0.530,60,0.073,0.237,16.5%,13.0%,2.6%,0.20,0.5,27,UTL,R,Yomiuri Giants,EL
Maru Yoshihiro,5,18,18,2,3,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0.167,0.167,0.333,0.500,49,0.166,0.118,5.6%,0.0%,0.0%,,-0.0,36,7,L,Yomiuri Giants,EL
Masuda Daiki,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,33.3%,33.3%,0.0%,0.00,0.0,31,6,R,Yomiuri Giants,EL
Masuda Riku,30,99,96,8,30,1,0,1,34,13,0,0,0,1,16,1,0,1,1,0.313,0.323,0.354,0.677,104,0.041,0.362,18.2%,16.2%,1.0%,0.06,-0.0,25,4,R,Yomiuri Giants,EL
Mitsuka Rui,61,209,195,23,68,14,0,8,106,38,3,1,1,0,37,10,0,3,3,0.349,0.389,0.544,0.933,180,0.195,0.400,26.3%,17.7%,4.8%,0.27,0.1,21,3,L,Yomiuri Giants,EL
Murayama Gen,13,22,18,3,3,1,0,0,4,3,0,1,2,0,4,2,0,0,0,0.167,0.250,0.222,0.472,43,0.055,0.214,27.3%,18.2%,9.1%,0.50,-0.3,20,6,R,Yomiuri Giants,EL
Nakata Ayumu,22,54,41,10,15,4,3,0,25,8,1,1,2,0,9,7,0,4,0,0.366,0.500,0.610,1.110,234,0.244,0.469,29.6%,16.7%,13.0%,0.78,-0.2,21,6,R,Yomiuri Giants,EL
Nakayama Raito,8,31,26,4,11,0,0,1,14,4,0,0,0,1,3,2,0,2,0,0.423,0.484,0.538,1.022,208,0.115,0.435,19.4%,9.7%,6.5%,0.67,-0.0,23,UTL,L,Yomiuri Giants,EL
Nishidate Yuhi,8,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,348,0.500,0.500,0.0%,0.0%,0.0%,,0.0,23,1,R,Yomiuri Giants,EL
Ohshiro Takumi,17,55,50,10,16,6,0,3,31,13,0,0,0,0,8,5,0,0,0,0.320,0.382,0.620,1.002,200,0.300,0.333,29.1%,14.5%,9.1%,0.62,-0.0,32,2,L,Yomiuri Giants,EL
Ohtsu Ryoya,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,211,0.000,,100.0%,0.0%,100.0%,1.00,-0.0,22,7,R,Yomiuri Giants,EL
Okada Yuki,82,236,200,38,56,9,1,8,91,36,8,3,2,0,50,33,0,1,4,0.280,0.385,0.455,0.840,153,0.175,0.338,38.6%,21.2%,14.0%,0.66,0.3,25,9,L,Yomiuri Giants,EL
Okamoto Kazuma,8,21,19,1,5,2,0,0,7,2,0,0,0,0,3,1,0,1,1,0.263,0.333,0.368,0.701,111,0.105,0.312,19.0%,14.3%,4.8%,0.33,-0.0,29,DH,R,Yomiuri Giants,EL
Okoye Louis,25,65,61,9,20,4,0,3,33,17,2,0,0,0,13,4,0,0,1,0.328,0.369,0.541,0.910,173,0.213,0.378,30.8%,20.0%,6.2%,0.31,0.3,27,7,R,Yomiuri Giants,EL
Otosaka Tomo,12,25,23,2,5,2,0,0,7,2,0,0,0,0,4,2,0,0,2,0.217,0.280,0.304,0.584,76,0.087,0.263,24.0%,16.0%,8.0%,0.50,-0.0,31,,R,Yomiuri Giants,EL
Sakamoto Hayato,19,61,56,2,14,1,0,1,18,4,0,0,0,0,11,5,0,0,0,0.250,0.311,0.321,0.632,91,0.071,0.295,27.9%,18.0%,8.2%,0.45,-0.0,36,DH,R,Yomiuri Giants,EL
Sakamoto Tatsuya,8,14,11,5,7,2,0,0,9,0,0,0,2,0,2,0,0,1,0,0.636,0.667,0.818,1.485,347,0.182,0.778,14.3%,14.3%,0.0%,0.00,-0.0,22,2,R,Yomiuri Giants,EL
Sasahara Misaki,67,185,158,26,38,6,1,2,52,20,14,3,1,6,32,19,0,1,6,0.241,0.315,0.329,0.644,94,0.088,0.277,28.6%,17.3%,10.3%,0.59,1.3,21,9,R,Yomiuri Giants,EL
Sasaki Shunsuke,49,144,125,19,40,6,1,0,48,15,8,3,3,3,23,11,0,2,1,0.320,0.376,0.384,0.760,129,0.064,0.381,23.6%,16.0%,7.6%,0.48,0.3,25,9,L,Yomiuri Giants,EL
Shigenobu Shinnosuke,53,94,81,21,16,3,0,1,22,7,7,1,1,1,20,11,0,0,1,0.198,0.290,0.272,0.562,70,0.074,0.246,34.0%,21.3%,11.7%,0.55,0.8,32,8,L,Yomiuri Giants,EL
Sunagawa Richard,14,55,49,9,12,4,0,3,25,14,0,0,0,0,22,5,0,1,0,0.245,0.327,0.510,0.837,151,0.265,0.375,54.5%,40.0%,9.1%,0.23,-0.0,26,3,R,Yomiuri Giants,EL
Suzuki Yamato,41,79,68,13,19,2,2,0,25,10,7,0,5,1,13,3,0,2,1,0.279,0.324,0.368,0.692,108,0.089,0.339,20.3%,16.5%,3.8%,0.23,1.2,26,8,R,Yomiuri Giants,EL
Tanaka Masahiro,13,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,36,1,R,Yomiuri Giants,EL
Tima Julian,90,326,307,27,69,18,0,7,108,36,0,0,0,3,72,15,0,1,13,0.225,0.261,0.352,0.613,84,0.127,0.268,28.8%,22.1%,4.6%,0.21,-0.1,20,3,R,Yomiuri Giants,EL
Urata Shunsuke,86,270,230,38,65,8,1,0,75,15,19,3,9,0,31,29,0,2,3,0.283,0.368,0.326,0.694,110,0.043,0.327,22.2%,11.5%,10.7%,0.94,2.1,22,6,L,Yomiuri Giants,EL
Utsunomiya Kisara,67,193,170,31,48,3,0,1,54,14,15,3,6,0,29,15,0,2,3,0.282,0.348,0.318,0.666,101,0.036,0.336,23.3%,15.0%,7.8%,0.52,1.5,21,4,L,Yomiuri Giants,EL
Wakabayashi Gakuto,3,6,6,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,202,0.000,0.600,16.7%,16.7%,0.0%,0.00,-0.0,27,8,R,Yomiuri Giants,EL
Yamasaki Iori,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,0.0,26,1,L,Yomiuri Giants,EL
Yamase Shinnosuke,87,221,187,25,61,8,1,2,77,20,0,1,9,2,40,22,1,1,7,0.326,0.396,0.412,0.808,144,0.086,0.401,29.0%,18.1%,10.0%,0.55,-0.4,24,2,R,Yomiuri Giants,EL
Yoshikawa Naoki,3,9,9,2,3,0,1,0,5,2,0,0,0,0,1,0,0,0,0,0.333,0.333,0.556,0.889,166,0.223,0.375,11.1%,11.1%,0.0%,0.00,-0.0,30,4,L,Yomiuri Giants,EL
Yuasa Dai,79,190,154,18,32,6,0,1,41,16,9,2,10,1,42,21,0,4,2,0.208,0.317,0.266,0.583,76,0.058,0.277,33.7%,22.1%,11.1%,0.50,0.8,25,4,R,Yomiuri Giants,EL
Akahane Yoshihiro,4,15,12,3,4,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0.333,0.467,0.333,0.800,146,0.000,0.400,33.3%,13.3%,20.0%,1.50,-0.0,25,UTL,R,Yakult Swallows,EL
Aoyagi Koyo,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,31,1,R,Yakult Swallows,EL
Hamada Taiki,71,215,189,12,33,10,1,5,60,27,1,4,3,2,54,17,0,4,8,0.175,0.255,0.317,0.572,74,0.142,0.212,35.3%,25.1%,7.9%,0.31,-1.2,24,6,R,Yakult Swallows,EL
Hashimoto Seiya,74,269,247,29,68,13,2,1,88,30,6,5,1,2,28,19,0,0,8,0.275,0.325,0.356,0.681,108,0.081,0.305,17.8%,10.4%,7.1%,0.68,-0.7,24,7,L,Yakult Swallows,EL
Ishihara Yuki,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,23,1,L,Yakult Swallows,EL
Itoh Ryui,16,67,58,4,13,1,0,0,14,4,1,2,4,0,15,5,0,0,0,0.224,0.286,0.241,0.527,61,0.017,0.302,29.9%,22.4%,7.5%,0.33,-0.5,22,6,R,Yakult Swallows,EL
Iwata Yukihiro,7,27,22,6,9,1,0,0,10,1,4,0,2,0,3,3,0,0,0,0.409,0.480,0.455,0.935,187,0.046,0.474,22.2%,11.1%,11.1%,1.00,0.7,27,8,L,Yakult Swallows,EL
Kawabata Shingo,68,193,179,11,42,2,0,2,50,19,0,0,0,0,13,13,0,1,4,0.235,0.290,0.279,0.569,74,0.044,0.244,14.5%,6.7%,6.7%,1.00,-0.1,37,DH,L,Yakult Swallows,EL
Kitamura Keigo,72,257,226,14,53,10,0,2,69,10,2,0,2,1,40,21,0,7,7,0.235,0.318,0.305,0.623,90,0.070,0.276,24.5%,15.6%,8.2%,0.53,0.2,24,UTL,R,Yakult Swallows,EL
Kitamura Takumi,14,40,37,4,8,2,0,0,10,3,0,0,0,0,6,2,0,1,2,0.216,0.275,0.270,0.545,66,0.054,0.258,20.0%,15.0%,5.0%,0.33,-0.0,29,4,R,Yakult Swallows,EL
Koga Yudai,1,5,5,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,269,0.000,0.600,0.0%,0.0%,0.0%,,-0.0,26,2,R,Yakult Swallows,EL
Lambert Peter,2,2,2,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0.500,0.500,1.000,1.500,357,0.500,1.000,50.0%,50.0%,0.0%,0.00,0.0,28,1,R,Yakult Swallows,EL
Maruyama Kazuya,16,52,47,4,9,1,1,0,12,2,3,0,1,1,9,3,0,0,0,0.191,0.235,0.255,0.490,49,0.064,0.231,23.1%,17.3%,5.8%,0.33,0.5,25,8,L,Yakult Swallows,EL
Masuda Shu,2,7,6,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0.167,0.286,0.167,0.453,39,0.000,0.250,42.9%,28.6%,14.3%,0.50,-0.0,26,9,R,Yakult Swallows,EL
Matsumoto Naoki,23,70,62,3,15,3,0,0,18,6,0,0,4,0,6,3,0,1,3,0.242,0.288,0.290,0.578,76,0.048,0.268,12.9%,8.6%,4.3%,0.50,-0.0,31,2,R,Yakult Swallows,EL
Matsumoto Ryunosuke,70,143,120,10,19,3,1,0,24,4,8,5,1,0,54,18,0,4,0,0.158,0.289,0.200,0.489,50,0.042,0.288,50.3%,37.8%,12.6%,0.33,-0.3,20,2,L,Yakult Swallows,EL
Miyamoto Takeshi,2,7,7,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0.143,0.143,0.143,0.286,-14,0.000,0.250,42.9%,42.9%,0.0%,0.00,-0.0,30,9,L,Yakult Swallows,EL
Moiseev Nikita,45,140,128,7,19,5,0,4,36,12,1,2,0,0,42,12,0,0,2,0.148,0.221,0.281,0.502,52,0.133,0.183,41.4%,30.0%,8.6%,0.29,-0.5,18,9,L,Yakult Swallows,EL
Murakami Munetaka,13,39,33,6,12,3,0,2,21,5,1,1,0,0,7,6,0,0,1,0.364,0.462,0.636,1.098,236,0.272,0.417,38.5%,17.9%,15.4%,0.86,-0.2,25,5,L,Yakult Swallows,EL
Nagaoka Hideki,12,40,33,1,6,1,0,0,7,3,0,1,0,0,5,5,0,2,1,0.182,0.325,0.212,0.537,65,0.030,0.214,25.0%,12.5%,12.5%,1.00,-0.3,23,6,L,Yakult Swallows,EL
Nakagawa Takuma,47,100,94,7,13,1,0,1,17,2,0,0,1,0,30,5,0,0,2,0.138,0.182,0.181,0.363,10,0.043,0.190,36.0%,30.0%,5.0%,0.17,-0.0,22,2,R,Yakult Swallows,EL
Nakamura Yuto,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,517,0.000,1.000,0.0%,0.0%,0.0%,,-0.0,22,1,L,Yakult Swallows,EL
Namiki Hidetaka,10,30,27,3,7,0,0,0,7,0,2,1,0,0,3,3,0,0,1,0.259,0.333,0.259,0.592,81,0.000,0.292,20.0%,10.0%,10.0%,1.00,-0.0,26,8,R,Yakult Swallows,EL
Negishi Tatsunori,37,111,105,4,21,5,0,0,26,5,0,1,0,0,20,6,0,0,5,0.200,0.243,0.248,0.491,49,0.048,0.247,23.4%,18.0%,5.4%,0.30,-0.4,24,3,L,Yakult Swallows,EL
Nishikawa Haruki,31,107,79,12,21,4,1,1,30,8,0,0,0,0,23,27,0,1,2,0.266,0.458,0.380,0.838,158,0.114,0.364,47.7%,21.5%,25.2%,1.17,-0.1,33,9,L,Yakult Swallows,EL
Nishimura Ruito,85,294,273,26,61,13,0,3,83,20,5,6,0,3,75,18,0,0,6,0.223,0.269,0.304,0.573,74,0.081,0.293,32.7%,25.5%,6.1%,0.24,-1.2,20,5,L,Yakult Swallows,EL
Ogawa Yasuhiro,7,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,104,0.000,0.333,0.0%,0.0%,0.0%,,-0.0,35,1,R,Yakult Swallows,EL
Ohta Kengo,40,137,124,8,33,1,1,2,42,11,1,0,0,0,18,12,0,1,1,0.266,0.336,0.339,0.675,106,0.073,0.298,23.4%,13.1%,8.8%,0.67,0.1,28,8,L,Yakult Swallows,EL
Sawai Ren,71,271,237,28,53,9,1,8,88,23,1,2,0,1,67,25,0,8,6,0.224,0.317,0.371,0.688,110,0.147,0.276,36.9%,24.7%,9.2%,0.37,-0.6,25,9,L,Yakult Swallows,EL
Sawano Kiyoharu,75,218,203,20,30,4,3,2,46,11,6,3,6,0,73,9,0,0,1,0.148,0.184,0.227,0.411,24,0.079,0.219,38.5%,33.5%,4.1%,0.12,-0.0,23,4,L,Yakult Swallows,EL
Suzuki Kyo,22,51,45,5,11,3,0,1,17,7,0,1,0,0,15,6,0,0,2,0.244,0.333,0.378,0.711,117,0.134,0.345,43.1%,29.4%,11.8%,0.40,-0.4,19,2,R,Yakult Swallows,EL
Takanashi Hirotoshi,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,34,1,R,Yakult Swallows,EL
Takano Souta,66,167,155,7,21,4,0,0,25,8,2,0,2,3,47,7,0,0,2,0.135,0.170,0.161,0.331,0,0.026,0.189,32.3%,28.1%,4.2%,0.15,0.3,19,3,R,Yakult Swallows,EL
Takeoka Ryusei,32,136,115,14,31,3,1,1,39,12,3,2,0,1,30,18,0,2,1,0.270,0.375,0.339,0.714,119,0.069,0.353,36.0%,22.1%,13.2%,0.60,-0.2,24,UTL,L,Yakult Swallows,EL
Tanaka Haruto,64,229,202,20,48,9,4,2,71,17,1,2,0,0,53,24,0,3,4,0.238,0.328,0.351,0.679,107,0.113,0.313,34.5%,23.1%,10.5%,0.45,-0.6,19,6,L,Yakult Swallows,EL
Uchiyama Souma,15,47,42,2,10,2,0,0,12,2,0,0,0,0,9,3,0,2,0,0.238,0.319,0.286,0.605,85,0.048,0.303,25.5%,19.1%,6.4%,0.33,-0.0,23,2,R,Yakult Swallows,EL
Yamada Tetsuto,9,25,24,1,4,1,0,1,8,2,0,0,0,0,3,1,0,0,0,0.167,0.200,0.333,0.533,61,0.166,0.150,20.0%,12.0%,4.0%,0.33,-0.0,32,4,R,Yakult Swallows,EL
Yamano Taichi,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,26,1,L,Yakult Swallows,EL
Yamanobe Kakeru,28,99,87,6,22,3,1,1,30,6,3,1,2,1,9,7,0,2,3,0.253,0.320,0.345,0.665,103,0.092,0.269,17.2%,9.1%,7.1%,0.78,0.1,31,4,R,Yakult Swallows,EL
Yano Taijiro,55,126,110,6,19,4,0,0,23,3,2,0,4,0,17,11,0,1,1,0.173,0.254,0.209,0.463,41,0.036,0.204,22.2%,13.5%,8.7%,0.65,0.3,23,2,R,Yakult Swallows,EL
Bright Kenta,10,33,28,7,11,3,1,1,19,7,0,0,0,0,6,4,0,1,0,0.393,0.485,0.679,1.164,242,0.286,0.476,33.3%,18.2%,12.1%,0.67,-0.0,26,7,R,Chunichi Dragons,WL
Calixte Orlando,20,69,63,6,17,3,0,1,23,6,0,1,0,1,12,5,0,0,1,0.270,0.319,0.365,0.684,103,0.095,0.314,26.1%,17.4%,7.2%,0.42,-0.4,33,7,R,Chunichi Dragons,WL
Chavis Michael,4,11,11,1,4,1,0,0,5,4,0,0,0,0,1,0,0,0,0,0.364,0.364,0.455,0.819,142,0.091,0.400,9.1%,9.1%,0.0%,0.00,-0.0,29,DH,R,Chunichi Dragons,WL
Fukumoto Yuma,59,162,150,12,46,10,1,3,67,29,2,2,0,5,20,6,0,1,8,0.307,0.327,0.447,0.774,129,0.140,0.326,17.9%,12.3%,3.7%,0.30,-0.4,25,DH,R,Chunichi Dragons,WL
Fukunaga Hiroki,6,17,16,4,6,1,0,0,7,2,0,0,0,0,2,1,0,0,0,0.375,0.412,0.438,0.850,152,0.063,0.429,17.6%,11.8%,5.9%,0.50,-0.0,28,DH,R,Chunichi Dragons,WL
Gotoh Shunta,34,110,93,7,26,5,2,0,35,10,0,1,0,2,18,15,0,0,2,0.280,0.373,0.376,0.749,122,0.096,0.338,30.0%,16.4%,13.6%,0.83,-0.4,32,9,L,Chunichi Dragons,WL
Hama Shonosuke,86,315,273,36,69,11,7,0,94,22,14,9,4,1,60,36,1,1,6,0.253,0.341,0.344,0.685,104,0.091,0.322,30.5%,19.0%,11.4%,0.60,-0.7,25,8,L,Chunichi Dragons,WL
Higuchi Seishu,28,66,58,8,10,0,0,0,10,2,5,0,3,0,12,4,0,1,0,0.172,0.238,0.172,0.410,24,0.000,0.217,24.2%,18.2%,6.1%,0.33,0.8,26,4,L,Chunichi Dragons,WL
Hiwatari Touki,23,34,32,2,8,1,0,0,9,1,0,0,0,0,10,1,0,1,1,0.250,0.294,0.281,0.575,72,0.031,0.364,32.4%,29.4%,2.9%,0.10,-0.0,20,2,L,Chunichi Dragons,WL
Hoshino Mao,26,39,33,1,4,1,0,0,5,2,0,1,3,1,16,1,0,1,3,0.121,0.167,0.152,0.319,-3,0.031,0.222,43.6%,41.0%,2.6%,0.06,-0.3,21,5,R,Chunichi Dragons,WL
Hosokawa Seiya,6,18,16,3,5,1,0,2,12,2,0,0,0,0,4,2,0,0,0,0.313,0.389,0.750,1.139,233,0.437,0.300,44.4%,22.2%,11.1%,0.50,-0.0,26,DH,R,Chunichi Dragons,WL
Ishibashi Kota,36,92,79,15,25,8,1,0,35,17,0,1,1,0,16,12,0,0,2,0.316,0.407,0.443,0.850,152,0.127,0.397,30.4%,17.4%,13.0%,0.75,-0.4,24,2,R,Chunichi Dragons,WL
Ishii Yuta,9,26,22,2,7,2,0,2,15,3,0,0,0,0,7,2,0,2,0,0.318,0.423,0.682,1.105,224,0.364,0.385,42.3%,26.9%,7.7%,0.29,-0.0,24,2,R,Chunichi Dragons,WL
Ishikawa Takaya,43,165,146,16,45,11,0,3,65,21,1,0,0,3,25,14,0,2,4,0.308,0.370,0.445,0.815,141,0.137,0.347,25.5%,15.2%,8.5%,0.56,0.1,24,5,R,Chunichi Dragons,WL
Itayama Yutaro,10,36,34,3,12,3,1,1,20,4,1,0,0,0,6,2,0,0,0,0.353,0.389,0.588,0.977,187,0.235,0.407,25.0%,16.7%,5.6%,0.33,0.2,31,4,L,Chunichi Dragons,WL
Kanemaru Yumeto,6,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,50.0%,50.0%,0.0%,0.00,0.0,22,1,L,Chunichi Dragons,WL
Kato Ryuma,27,49,47,2,4,1,0,0,5,2,0,0,0,0,24,2,0,0,0,0.085,0.122,0.106,0.228,-30,0.021,0.174,53.1%,49.0%,4.1%,0.08,-0.0,26,9,S,Chunichi Dragons,WL
Katoh Takuma,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,0.0,33,2,R,Chunichi Dragons,WL
Kawagoe Seiji,54,164,139,16,31,9,2,1,47,19,1,0,0,1,42,22,0,2,0,0.223,0.335,0.338,0.673,100,0.115,0.309,39.6%,25.6%,13.4%,0.52,0.1,32,9,L,Chunichi Dragons,WL
Kawakami Rii,88,332,275,41,62,11,3,1,82,35,15,6,1,6,71,43,0,7,6,0.225,0.338,0.298,0.636,90,0.073,0.292,34.6%,21.4%,13.0%,0.61,0.4,24,3,R,Chunichi Dragons,WL
Mejia Humberto,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,205,0.000,,100.0%,0.0%,100.0%,1.00,-0.0,28,1,R,Chunichi Dragons,WL
Miya Taisei,52,110,102,8,22,3,1,0,27,14,0,1,5,0,16,1,0,2,5,0.216,0.238,0.265,0.503,50,0.049,0.256,15.5%,14.5%,0.9%,0.06,-0.4,22,2,L,Chunichi Dragons,WL
Monier Carlos,38,111,92,9,21,3,0,2,30,13,2,1,0,0,26,13,0,6,1,0.228,0.360,0.326,0.686,104,0.098,0.297,36.9%,23.4%,11.7%,0.50,-0.0,24,7,R,Chunichi Dragons,WL
Mori Shunta,63,159,142,15,33,4,1,5,54,16,2,0,0,5,47,11,0,1,2,0.232,0.283,0.380,0.663,96,0.148,0.295,39.6%,29.6%,6.9%,0.23,0.3,18,5,L,Chunichi Dragons,WL
