Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,<a href=https://npb.jp/bis/eng/players/03205159.html>Ford Mike</a>,6,22,20,1,4,0,0,1,7,2,0,0,0,0,2,2,0,0,0,0.200,0.273,0.350,0.623,90,0.150,0.176,22.7%,9.1%,9.1%,1.00,31,3,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51655134.html>Hamaguchi Haruhiro</a>,11,15,14,1,3,0,0,0,3,0,0,0,0,0,7,1,0,0,0,0.214,0.267,0.214,0.481,49,0.000,0.429,53.3%,46.7%,6.7%,0.14,29,1,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91695157.html>Hayashi Takuma</a>,63,114,102,11,17,5,1,0,24,7,6,3,2,1,24,8,2,1,2,0.167,0.232,0.235,0.467,44,0.068,0.215,28.1%,21.1%,7.0%,0.33,23,6,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/31335159.html>Inoue Kento</a>,25,48,42,2,8,5,0,0,13,4,1,0,2,0,8,2,1,2,1,0.190,0.261,0.310,0.571,75,0.120,0.235,20.8%,16.7%,4.2%,0.25,24,5,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/11315130.html>Ishida Kenta</a>,6,13,12,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0.083,0.083,0.083,0.166,-48,0.000,0.200,53.8%,53.8%,0.0%,0.00,31,1,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,12,18,16,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,50.0%,0.0%,0.00,22,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91195159.html>Ishikami Taiki</a>,26,79,71,3,13,4,0,0,17,3,2,0,2,0,17,6,2,0,3,0.183,0.247,0.239,0.486,50,0.056,0.241,29.1%,21.5%,7.6%,0.35,23,6,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/81185116.html>Itoh Hikaru</a>,39,94,88,7,18,4,0,1,25,14,0,0,0,0,24,4,0,2,1,0.205,0.255,0.284,0.539,66,0.079,0.270,30.9%,25.5%,4.3%,0.17,35,2,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/43745159.html>Jackson Andre</a>,25,51,41,1,4,0,0,0,4,1,0,0,8,0,28,2,0,0,1,0.098,0.140,0.098,0.238,-25,0.000,0.308,58.8%,54.9%,3.9%,0.07,28,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51555155.html>Kajiwara Kouki</a>,91,351,339,49,99,16,3,4,133,30,16,2,1,0,98,7,3,4,2,0.292,0.314,0.392,0.706,115,0.100,0.401,31.1%,27.9%,2.0%,0.07,24,9,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585138.html>Kamichatani Taiga</a>,18,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,33.3%,33.3%,0.0%,0.00,27,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,25,25,23,3,3,0,0,0,3,0,2,0,0,0,12,1,0,1,0,0.130,0.200,0.130,0.330,4,0.000,0.273,52.0%,48.0%,4.0%,0.08,30,9,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715159.html>Kay Anthony</a>,24,46,38,1,0,0,0,0,0,1,0,0,5,0,22,3,0,0,0,0.000,0.073,0.000,0.073,-75,0.000,0.000,54.3%,47.8%,6.5%,0.14,29,1,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/61565136.html>Kusumoto Taishi</a>,18,31,29,0,5,1,0,0,6,5,0,0,0,0,5,1,0,1,0,0.172,0.226,0.207,0.433,34,0.035,0.208,19.4%,16.1%,3.2%,0.20,28,7,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51755135.html>Kuwahara Masayuki</a>,106,321,285,35,77,12,0,5,104,24,8,0,9,4,42,19,0,4,6,0.270,0.321,0.365,0.686,110,0.095,0.298,20.6%,13.1%,5.9%,0.45,30,8,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585134.html>Kyoda Yota</a>,101,236,216,18,53,7,1,1,65,27,3,1,4,3,43,13,2,0,4,0.245,0.284,0.301,0.585,79,0.056,0.297,24.2%,18.2%,5.5%,0.30,30,6,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/11715134.html>Kyoyama Masaya</a>,23,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,50.0%,50.0%,0.0%,0.00,25,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/61465112.html>Maeda Yamato</a>,42,94,81,4,20,1,0,0,21,3,1,0,4,3,12,5,0,1,3,0.247,0.289,0.259,0.548,69,0.012,0.278,18.1%,12.8%,5.3%,0.42,36,6,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13115153.html>Maki Shugo</a>,133,561,517,76,152,33,0,23,254,74,11,0,0,2,59,37,5,5,13,0.294,0.346,0.491,0.837,154,0.197,0.295,21.2%,10.5%,6.6%,0.63,26,4,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/93195153.html>Matsumoto Ryunosuke</a>,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,21,1,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21825157.html>Matsuo Shion</a>,27,40,38,3,8,3,0,0,11,1,0,0,0,0,8,1,0,1,1,0.211,0.250,0.289,0.539,65,0.078,0.267,22.5%,20.0%,2.5%,0.12,19,2,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51455137.html>Miyazaki Toshiro</a>,125,469,410,49,116,24,0,14,182,56,1,1,0,1,29,52,11,6,9,0.283,0.371,0.444,0.815,148,0.161,0.277,20.3%,6.2%,11.1%,1.79,35,5,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/33135151.html>Mori Keito</a>,71,200,187,16,47,12,1,0,61,5,8,6,0,1,43,12,2,0,4,0.251,0.295,0.326,0.621,90,0.075,0.324,27.5%,21.5%,6.0%,0.28,22,6,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405139.html>Mori Yuito</a>,14,5,4,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0.250,0.250,0.250,0.500,54,0.000,1.000,60.0%,60.0%,0.0%,0.00,32,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425153.html>Nakagawa Hayate</a>,29,14,12,1,3,0,0,1,6,3,0,0,2,0,3,0,0,0,0,0.250,0.250,0.500,0.750,125,0.250,0.250,28.6%,21.4%,0.0%,0.00,25,1,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91095139.html>Nishiura Naomichi</a>,8,17,15,3,4,0,1,0,6,1,0,0,0,0,5,2,1,0,2,0.267,0.353,0.400,0.753,130,0.133,0.400,41.2%,29.4%,11.8%,0.40,33,UTL,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/01305138.html>Ohnuki Shinichi</a>,15,30,24,1,2,0,0,0,2,0,0,0,5,0,9,1,0,0,0,0.083,0.120,0.083,0.203,-35,0.000,0.133,33.3%,30.0%,3.3%,0.11,30,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995134.html>Sano Keita</a>,139,566,524,51,143,34,0,8,201,62,0,0,0,3,53,35,3,4,17,0.273,0.322,0.384,0.706,116,0.111,0.290,17.0%,9.4%,6.2%,0.66,29,7,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/31935139.html>Sekine Taiki</a>,79,142,128,14,29,2,0,0,31,4,2,3,1,0,19,11,0,2,2,0.227,0.298,0.242,0.540,68,0.015,0.266,21.1%,13.4%,7.7%,0.58,29,7,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41945132.html>Shibata Tatsuhiro</a>,82,34,23,4,6,0,0,0,6,2,1,0,7,0,7,3,1,1,0,0.261,0.370,0.261,0.631,96,0.000,0.375,29.4%,20.6%,8.8%,0.43,30,5,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/01905139.html>Taira Kentaro</a>,4,10,10,2,2,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0.200,0.200,0.200,0.400,24,0.000,0.667,70.0%,70.0%,0.0%,0.00,28,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41245132.html>Tobashira Yasutaka</a>,46,97,90,4,22,4,0,0,26,4,0,0,1,0,15,5,0,1,5,0.244,0.292,0.289,0.581,78,0.045,0.293,20.6%,15.5%,5.2%,0.33,34,2,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/41945131.html>Tsutsugoh Yoshitomo</a>,57,168,149,12,28,6,3,7,61,23,0,0,0,1,51,16,1,2,5,0.188,0.274,0.409,0.683,107,0.221,0.228,44.0%,30.4%,9.5%,0.31,32,9,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/33535159.html>Watarai Ryuki</a>,75,272,251,21,64,7,1,3,82,24,2,2,1,1,43,12,0,7,6,0.255,0.306,0.327,0.633,94,0.072,0.296,21.3%,15.8%,4.4%,0.28,21,9,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/03505159.html>Wick Rowan</a>,43,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,31,1,L,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/23125136.html>Yamamoto Yuudai</a>,108,403,358,29,104,14,2,5,137,37,1,1,9,6,41,27,1,3,12,0.291,0.340,0.383,0.723,121,0.092,0.311,18.1%,10.2%,6.7%,0.66,25,2,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/33535157.html>Yoshino Teruki</a>,7,13,9,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0.000,0.182,0.000,0.182,-39,0.000,0.000,53.8%,38.5%,15.4%,0.40,25,1,R,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,21,16,12,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,18.8%,18.8%,0.0%,0.00,24,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/71175153.html>Akihiro Yuto</a>,26,48,46,5,12,1,0,0,13,1,1,0,0,0,12,2,0,0,1,0.261,0.292,0.283,0.575,79,0.022,0.353,29.2%,25.0%,4.2%,0.17,21,7,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91195157.html>Asano Shogo</a>,40,158,146,18,35,11,2,3,59,18,1,0,2,1,27,7,1,2,2,0.240,0.282,0.404,0.686,111,0.164,0.274,23.4%,17.1%,4.4%,0.26,19,9,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995131.html>Chono Hisayoshi</a>,54,98,89,5,23,3,1,0,28,14,1,1,0,0,25,9,1,0,2,0.258,0.327,0.315,0.642,100,0.057,0.359,34.7%,25.5%,9.2%,0.36,39,7,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/31835157.html>Funabasama Hiromasa</a>,51,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,27,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/03705157.html>Griffin Foster</a>,20,35,30,0,3,2,0,0,5,2,0,0,5,0,11,0,0,0,0,0.100,0.100,0.167,0.267,-19,0.067,0.158,31.4%,31.4%,0.0%,0.00,28,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81485157.html>Hagio Masaya</a>,56,163,149,13,32,8,2,2,50,12,0,2,1,1,41,11,1,1,4,0.215,0.272,0.336,0.608,88,0.121,0.280,33.1%,25.2%,6.7%,0.27,23,9,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/33235159.html>Hernandez Elier</a>,56,240,221,34,65,11,0,8,100,30,0,1,0,1,58,15,1,3,8,0.294,0.346,0.452,0.798,146,0.158,0.365,33.8%,24.2%,6.2%,0.26,29,8,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625151.html>Hotta Kenshin</a>,17,11,9,0,1,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0.111,0.111,0.111,0.222,-31,0.000,0.250,45.5%,45.5%,0.0%,0.00,23,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51355151.html>Inoue Haruto</a>,25,34,28,1,4,0,0,0,4,2,0,0,5,0,9,1,0,0,0,0.143,0.172,0.143,0.315,-2,0.000,0.211,29.4%,26.5%,2.9%,0.11,23,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/61165159.html>Izuguchi Yuta</a>,66,185,164,10,33,6,1,1,44,9,1,0,3,0,24,18,1,0,2,0.201,0.280,0.268,0.548,71,0.067,0.230,23.2%,13.0%,9.7%,0.75,25,6,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/11515157.html>Kadowaki Makoto</a>,129,405,350,29,85,9,1,0,96,21,9,3,16,0,63,37,7,2,3,0.243,0.319,0.274,0.593,86,0.031,0.296,24.7%,15.6%,9.1%,0.59,23,6,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/61565114.html>Kajitani Takayuki</a>,6,17,16,2,3,0,0,1,6,2,0,0,0,0,4,1,0,0,1,0.188,0.235,0.375,0.610,87,0.187,0.182,35.3%,23.5%,5.9%,0.25,35,9,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91595136.html>Kishida Yukinori</a>,88,298,269,22,65,10,1,4,89,26,2,2,9,2,43,14,0,4,11,0.242,0.287,0.331,0.618,92,0.089,0.272,20.5%,14.4%,4.7%,0.33,27,2,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/31935153.html>Kita Ryusuke</a>,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,25,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91795139.html>Kobayashi Seiji</a>,42,123,105,4,16,3,0,1,22,8,1,0,7,0,18,9,2,2,1,0.152,0.233,0.210,0.443,38,0.058,0.174,22.8%,14.6%,7.3%,0.50,35,2,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/91795134.html>Kohri Takuya</a>,5,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,25.0%,25.0%,0.0%,0.00,26,3,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425116.html>Maru Yoshihiro</a>,138,595,525,51,146,18,1,14,208,45,8,4,0,2,93,65,5,3,9,0.278,0.360,0.396,0.756,135,0.118,0.314,28.9%,15.6%,10.9%,0.70,35,9,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51855132.html>Masuda Daiki</a>,40,38,30,4,6,1,1,0,9,4,4,1,7,0,6,1,0,0,1,0.200,0.226,0.300,0.526,63,0.100,0.250,18.4%,15.8%,2.6%,0.17,30,5,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/01605138.html>Masuda Riku</a>,4,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.000,0.167,0.000,0.167,-45,0.000,0.000,16.7%,16.7%,0.0%,0.00,24,3,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/33135159.html>Mataki Teppei</a>,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,25,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21825134.html>Matsubara Seiya</a>,9,16,13,1,2,0,0,0,2,2,0,0,0,0,5,3,0,0,0,0.154,0.313,0.154,0.467,48,0.000,0.250,50.0%,31.2%,18.8%,0.60,29,9,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/93095157.html>Mendez Yohander</a>,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,29,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/23225159.html>Montes Coco</a>,46,159,151,14,41,15,0,1,59,14,1,0,0,0,21,7,2,1,3,0.272,0.308,0.391,0.699,116,0.119,0.310,18.2%,13.2%,4.4%,0.33,27,7,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51655153.html>Nakayama Raito</a>,32,48,44,2,14,3,0,0,17,2,0,0,0,0,12,4,0,0,1,0.318,0.375,0.386,0.761,137,0.068,0.438,33.3%,25.0%,8.3%,0.33,22,5,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/31635159.html>Nishidate Yuhi</a>,28,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,22,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325136.html>Ohshiro Takumi</a>,96,321,283,19,72,17,0,3,98,27,0,0,0,4,62,31,2,3,3,0.254,0.330,0.346,0.676,110,0.092,0.311,29.9%,19.3%,9.7%,0.50,31,2,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81385155.html>Okada Yuki</a>,4,9,7,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0.143,0.333,0.143,0.476,52,0.000,0.200,44.4%,22.2%,22.2%,1.00,24,7,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/11515130.html>Okamoto Kazuma</a>,143,611,535,70,150,37,0,27,268,83,1,1,0,5,97,66,10,5,5,0.280,0.362,0.501,0.863,167,0.221,0.296,31.1%,15.9%,10.8%,0.68,28,3,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/01505132.html>Okoye Louis</a>,68,157,138,16,36,9,0,3,54,13,4,0,8,1,35,9,0,1,3,0.261,0.309,0.391,0.700,116,0.130,0.327,29.9%,22.3%,5.7%,0.26,26,8,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51955114.html>Sakamoto Hayato</a>,109,426,395,34,94,14,0,7,129,34,1,0,0,3,72,27,1,1,14,0.238,0.286,0.327,0.613,90,0.089,0.273,24.9%,16.9%,6.3%,0.38,35,5,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51955159.html>Sasaki Shunsuke</a>,59,156,143,13,33,5,1,0,40,6,2,1,3,1,44,9,0,0,3,0.231,0.275,0.280,0.555,73,0.049,0.330,34.0%,28.2%,5.8%,0.20,24,9,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21925132.html>Shigenobu Shinnosuke</a>,33,18,15,6,1,0,0,0,1,0,6,1,0,0,6,3,0,0,0,0.067,0.222,0.067,0.289,-7,0.000,0.111,50.0%,33.3%,16.7%,0.50,31,7,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/41745137.html>Sugano Tomoyuki</a>,24,53,45,1,4,0,0,0,4,0,0,0,6,0,26,2,0,0,1,0.089,0.128,0.089,0.217,-32,0.000,0.211,52.8%,49.1%,3.8%,0.08,34,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/01005136.html>Takahashi Rei</a>,11,13,13,1,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0.154,0.154,0.154,0.308,-4,0.000,0.250,38.5%,38.5%,0.0%,0.00,28,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81985118.html>Tateoka Soichiro</a>,48,99,84,12,18,0,0,0,18,8,3,2,4,0,19,11,1,0,0,0.214,0.305,0.214,0.519,64,0.000,0.277,30.3%,19.2%,11.1%,0.58,34,7,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/41045138.html>Togo Shosei</a>,26,56,39,1,2,0,0,0,2,2,0,0,16,0,21,1,0,0,1,0.051,0.075,0.051,0.126,-61,0.000,0.111,39.3%,37.5%,1.8%,0.05,24,1,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/13315151.html>Urena Estamy</a>,7,8,7,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.000,0.125,0.000,0.125,-60,0.000,0.000,62.5%,50.0%,12.5%,0.25,25,3,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/53555153.html>Wakabayashi Gakuto</a>,27,44,42,3,9,1,1,1,15,7,1,0,0,0,11,1,0,1,0,0.214,0.250,0.357,0.607,87,0.143,0.267,29.5%,25.0%,2.3%,0.09,26,9,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/03305153.html>Yamasaki Iori</a>,24,53,44,1,6,2,0,0,8,4,0,0,8,0,19,1,0,0,0,0.136,0.156,0.182,0.338,4,0.046,0.240,37.7%,35.8%,1.9%,0.05,25,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/03105151.html>Yamase Shinnosuke</a>,2,6,6,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,108,0.000,0.400,16.7%,16.7%,0.0%,0.00,23,2,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/81885138.html>Yokogawa Kai</a>,12,8,4,0,1,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0.250,0.250,0.250,0.500,56,0.000,0.333,12.5%,12.5%,0.0%,0.00,23,1,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/73375134.html>Yoshikawa Naoki</a>,143,602,536,65,154,25,4,5,202,46,12,5,13,6,61,41,2,6,8,0.287,0.341,0.377,0.718,123,0.090,0.313,17.8%,10.1%,6.8%,0.67,29,4,L,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145136.html>Yuasa Dai</a>,19,7,6,2,1,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0.167,0.167,0.167,0.334,4,0.000,0.250,28.6%,28.6%,0.0%,0.00,24,5,R,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155153.html>Akahane Yoshihiro</a>,36,65,58,4,14,2,0,2,22,6,4,0,4,1,16,1,0,1,0,0.241,0.262,0.379,0.641,89,0.138,0.293,29.2%,24.6%,1.5%,0.06,24,4,R,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
